Name	Age	Class	Ticket	Location	Job	Boat	Survived	Sex
KING, Mr G.	20	Victualling Crew		Southampton	Scullion		0	M
KING, Mr Thomas Walter	42	Deck Crew		Southampton	Master-at-arms		0	M
KINGSCOTE, Mr William Ford	42	Victualling Crew		Southampton	Saloon Steward (1st class)		0	M
KINK-HEILMANN, Miss Luise Gretchen	4	3rd Class Passenger	315153 £22 6d	Southampton		2	1	F
KINK-HEILMANN, Mrs Luise	26	3rd Class Passenger	315153 £22 6d	Southampton		2	1	F
KINK, Miss Maria	22	3rd Class Passenger	315152 £8 13s 3d	Southampton			0	F
KINK, Mr Anton	29	3rd Class Passenger	315153 £22 6d	Southampton		2	1	M
KINK, Mr Vincenz	26	3rd Class Passenger	315151 £8 13s 3d	Southampton	Magazineer		0	M
KINSELLA, Mr Louis	30	Engineering Crew		Southampton	Fireman		0	M
KIRKALDY, Mr Thomas Benjamin	39	Victualling Crew		Southampton	Bed Room Steward		0	M
KIRKHAM, Mr James		Engineering Crew		Southampton	Greaser		0	M
KIRKLAND, Fr Charles Leonard	52	2nd Class Passenger	219533 £12 7s	Queenstown	Priest / Minister		0	M
KITCHING, Mr Arthur Alfred	30	Victualling Crew		Southampton	Saloon Steward (1st class)		0	M
KLABER, Mr Herman		1st Class Passenger	113028 £26 11s	Southampton	Businessman		0	M
KLASéN, Miss Gertrud Emilia	1	3rd Class Passenger	350405 £12 3s 8d	Southampton			0	F
KLASéN, Mr Klas Albin	18	3rd Class Passenger	350404 £7 17s 1d	Southampton	Farm Labourer		0	M
KLASéN, Mrs Hulda Kristina Eugenia	36	3rd Class Passenger	350405 £12 3s 8d	Southampton	Housewife		0	F
KLEIN, Mr Herbert	33	Victualling Crew		Southampton	Barber		0	M
KNIGHT, Mr George	44	Victualling Crew		Southampton	Saloon Steward		1	M
KNIGHT, Mr Leonard George	21	Victualling Crew		Southampton	Steward (3rd class)		0	M
KNIGHT, Mr Robert	39	2nd Class Passenger H&W Guarantee Group	239855	Belfast	Fitter		0	M
KNOWLES, Mr Thomas	42	Engineering Crew		Southampton	Firemens' Messman	C	1	M
KRAEFF, Mr Theodor		3rd Class Passenger	349253 £7 17s 11d	Cherbourg	General Labourer		0	M
KREKORIAN, Mr Neshan	25	3rd Class Passenger	2654 £7 4s 7d	Cherbourg	General Labourer	10	1	M
KREUCHEN, Miss Emilie	29	1st Class Passenger Servant	24160 £211 6s 9d	Southampton	Personal Maid	2	1	F
KRINS, Mr Georges Alexandre	23	2nd Class Passenger Musician	250654	Southampton	Musician		0	M
KUTSCHER (LITHMAN), Mr Simon	26	3rd Class Passenger	251 £7 11s	Southampton	Baker		0	M
KVILLNER, Mr Johan Henrik Johannesson	31	2nd Class Passenger	18723 £10 10s	Southampton	Mechanical Engineer	[165]	0	M
LACEY, Mr Bertie William	19	Victualling Crew		Southampton	Assistant Saloon steward, 2nd Class		0	M
LAHHūD ISHAQ MU'AWWAD, Mr Sarkīs	30	3rd Class Passenger	2624 £7 4s 6d	Cherbourg	General Labourer		0	M
LAHTINEN, Fr William	35	2nd Class Passenger	250651 £26	Southampton	Priest / Minister		0	M
LAHTINEN, Mrs Anna Amelia	34	2nd Class Passenger	250651 £26	Southampton			0	F
LAHY, Mr T.	32	Engineering Crew		Southampton	Fireman		0	M
LAITINEN, Miss Kristina Sofia	37	3rd Class Passenger	4135 £9 11s 9d	Southampton	Housekeeper		0	F
LAKE, Mr William	35	Victualling Crew		Belfast	Saloon Steward (1st class)		0	M
LAM, Mr Ali	38	3rd Class Passenger	1601 £56 9s 11d	Southampton	Seaman	C	1	M
LAM, Mr Len	23	3rd Class Passenger	1601 £56 9s 11d	Southampton	Seaman		0	M
LAMB, Mr John J.	30	2nd Class Passenger	240261 £10 14s 2d	Queenstown	Gentleman		0	M
LANDERGREN, Miss Aurora Adelia	22	3rd Class Passenger	7077 £7 5s	Southampton		13	1	F
LANE, Mr Albert Edward	34	Victualling Crew		Southampton	Saloon Steward (1st class)		0	M
LANE, Mr Patrick	16	3rd Class Passenger	7935 £7 15s	Queenstown	Farm Labourer		0	M
LANG, Mr Fang	32	3rd Class Passenger	1601 £56 9s 11d	Southampton	Seaman	14	1	M
LAROCHE, Miss Louise	1	2nd Class Passenger	2123 £41 11s 7d	Cherbourg		14	1	F
LAROCHE, Miss Simonne Marie Anne Andrée	3	2nd Class Passenger	2123 £41 11s 7d	Cherbourg		14	1	F
LAROCHE, Mr Joseph Philippe Lemercier	25	2nd Class Passenger	2123 £41 11s 7d	Cherbourg	Engineer		0	M
LAROCHE, Mrs Juliette Marie Louise	22	2nd Class Passenger	2123 £41 11s 7d	Cherbourg		14	1	F
LARSSON, Mr August Viktor	29	3rd Class Passenger	7545 £9 9s 8d	Southampton	General Labourer		0	M
LARSSON, Mr Bengt Edvin	29	3rd Class Passenger	347067 £7 15s 6d	Southampton	General Labourer		0	M
LARSSON, Mr Edvard	22	3rd Class Passenger	347065 £7 15s 6d	Southampton	Cook		0	M
LATIMER, Mr Andrew	55	Victualling Crew		Belfast	Chief Steward		0	M
LAVINGTON, Miss Elizabeth	40	Victualling Crew		Southampton	Stewardess	11	1	F
LAWRENCE, Mr Arthur	35	Victualling Crew		Belfast	Saloon Steward (1st class)	[90]	0	M
LEADER, Dr Alice May	49	1st Class Passenger	17465 £25 18s 7d	Southampton	Doctor	8	1	F
LEADER, Mr Archibald	22	Victualling Crew		Southampton	Confectioner		0	M
LEATHER, Mrs Elizabeth Mary	41	Victualling Crew		Southampton	Stewardess		1	F
LEE, Mr H.	18	Engineering Crew		Southampton	Trimmer		0	M
LEE, Mr Henry Reginald	29	Victualling Crew		Southampton	Scullion	13	1	M
LEE, Mr Reginald Robinson	41	Deck Crew		Southampton	Lookout	13	1	M
LEFEBVRE, Master Henry	5	3rd Class Passenger	4133 £25 9s 4d	Southampton			0	M
LEFEBVRE, Miss Ida	3	3rd Class Passenger	4133 £25 9s 4d	Southampton			0	F
LEFEBVRE, Miss Jeannie	8	3rd Class Passenger	4133 £25 9s 4d	Southampton			0	F
LEFEBVRE, Miss Mathilde	12	3rd Class Passenger	4133 £25 9s 4d	Southampton			0	F
LEFEBVRE, Mr Paul Georges	35	Victualling Crew		Southampton	Saloon Steward	[211]	0	M
LEFEBVRE, Mrs Frances Marie	40	3rd Class Passenger	4133 £25 9s 4d	Southampton			0	F
LEHMANN, Miss Bertha	17	2nd Class Passenger	1748 £12	Cherbourg		12	1	F
LEINONEN, Mr Antti Gustaf	32	3rd Class Passenger	3101292 £7 18s 6d	Southampton			0	M
LEITCH, Miss Jessie Wills	31	2nd Class Passenger	248727 £33	Southampton		11	1	F
LEMORE, Mrs Amelia	46	2nd Class Passenger	34260 £10 10s	Southampton		14	1	F
LENNON, Mr Denis	20	3rd Class Passenger	370371 £15 10s	Queenstown	General Labourer		0	M
LEONARD, Mr Matthew	25	Victualling Crew		Belfast	3rd Class Steward		0	M
LEROY, Miss Berthe	27	1st Class Passenger Servant	17761 £106 8s 6d	Cherbourg	Personal Maid	2	1	F
LESTER, Mr James	26	3rd Class Passenger	48871 £24 3s	Southampton	Dipper		0	M
LESUEUR, Mr Gustave J.	35	1st Class Passenger Servant	17755 £512 6s 7d	Cherbourg	Servant	3	1	M
LEVETT, Mr George Alfred	21	Victualling Crew		Belfast	Assistant Pantryman Steward (1st Class)		0	M
LéVY, Mr René Jacques	36	2nd Class Passenger	2163 £12 17s 6d	Southampton	Chemist		0	M
LEWIS, Mr Arthur Ernest Read	27	Victualling Crew		Southampton	Steward		1	M
LEWY, Mr Ervin G.	30	1st Class Passenger	17612 £27 14s 5d	Cherbourg	Jeweller		0	M
LEYSON, Mr Robert William Norman	25	2nd Class Passenger	29566 £10 10s	Southampton	Solicitor	[108]	0	M
LIEVENS, Mr René Aimé	24	3rd Class Passenger	345781 £9 10s	Southampton	Farmer		0	M
LIGHT, Mr Charles Edward	23	Victualling Crew		Southampton	Plate Steward (1st class)		0	M
LIGHT, Mr Christopher William	20	Engineering Crew		Southampton	Fireman		0	M
LIGHT, Mr W.	47	Engineering Crew		Southampton	Fireman		0	M
LIGHTOLLER, Mr Charles Herbert	38	Deck Crew Titanic Officers		Belfast	2nd. Officer	B	1	M
LINDAHL, Miss Agda Thorilda Viktoria	25	3rd Class Passenger	347071 £7 15s 6d	Southampton			0	F
LINDBLOM, Miss Augusta Charlotta	45	3rd Class Passenger	347073 £7 15s	Southampton			0	F
LINDEBERG-LIND, Mr Erik Gustaf	42	1st Class Passenger	17475 £26 11s	Southampton	Businessman		0	M
LINDELL, Mr Edvard Bengtsson	36	3rd Class Passenger	349910 £15 11s	Southampton	General Labourer	A	0	M
LINDELL, Mrs Elin Gerda	30	3rd Class Passenger	349910 £15 11s	Southampton		A	0	F
LINDQVIST, Mr Eino William	20	3rd Class Passenger	3101285 £7 18s 6d	Southampton		15	1	M
LINDSAY, Mr William Charles	30	Engineering Crew		Southampton	Fireman	3	1	M
LINDSTRöM, Mrs Sigrid	55	1st Class Passenger	112377 £27 14s 5d	Cherbourg		6	1	F
LINEHAN, Mr Michael	21	3rd Class Passenger	330971 £7 17s 7d	Queenstown	Farm Labourer		0	M
LINES, Miss Mary Conover	16	1st Class Passenger	17592 £39 8s	Cherbourg		9	1	F
LINES, Mrs Elizabeth Lindsey	50	1st Class Passenger	17592 £39 8s	Cherbourg		9	1	F
LING, Mr Lee	28	3rd Class Passenger	1601 £56 9s 11d	Southampton	Seaman		0	M
LINHART, Mr Wenzel	27	3rd Class Passenger	345775 £9 10s	Southampton	Baker	[298]	0	M
LINNANE, Mr John	61	2nd Class Passenger	235509 £12 7s	Queenstown	Gentleman		0	M
LITTLEJOHN, Mr Alexander James	40	Victualling Crew		Belfast	Saloon Steward (1st class)	13	1	M
LIVSHIN, Mr David	25	3rd Class Passenger	374887 £7 5s	Southampton	Jeweller	B	0	M
LLOYD, Mr Humphrey	41	Victualling Crew		Belfast	Saloon Steward (1st class)	[57]	0	M
LLOYD, Mr William	29	Engineering Crew		Southampton	Fireman		0	M
LOBB, Mr William Arthur	30	3rd Class Passenger	3336 £16 2s	Southampton	Engineer		0	M
LOBB, Mrs Cordelia K.	26	3rd Class Passenger	3336 £16 2s	Southampton		[55]	0	F
LOCKE, Mr A.	33	Victualling Crew		Southampton	Scullion		0	M
LOCKYER, Mr Edward Thomas	19	3rd Class Passenger	1222 £7 17s 7d	Southampton	Grocers Assistant	[153]	0	M
LONG, Mr Frank	28	Engineering Crew		Southampton	Trimmer		0	M
LONG, Mr Milton Clyde	29	1st Class Passenger	113501 £30	Southampton		[126]	0	M
LONG, Mr William	30	Engineering Crew		Southampton	Trimmer		0	M
LONGLEY, Miss Gretchen Fiske	21	1st Class Passenger	13502 £77 19s 2d	Cherbourg		10	1	F
LONGMUIR, Mr John Dickson	19	Victualling Crew		Southampton	Assistant Pantry Steward (2nd class)		0	M
LORING, Mr Joseph Holland	30	1st Class Passenger	113801 £45 10s	Southampton	Stockbroker		0	M
LOUCH, Mr Charles	50	2nd Class Passenger	3085 £26	Southampton	Saddler	[121]	0	M
LOUCH, Mrs Alice Adelaide	42	2nd Class Passenger	3085 £26	Southampton			1	F
LOVELL, Mr John	37	Victualling Crew		Southampton	Grill Cook		0	M
LOVELL, Mr John Hall	20	3rd Class Passenger	21173 £7 5s	Southampton	Farmer		0	M
LOWE, Mr Harold Godfrey	29	Deck Crew Titanic Officers		Belfast	5th. Officer	14	1	M
LUCAS, Mr William Arthur	25	Deck Crew		Southampton	Able Seaman	D	1	M
LUCAS, Mr William Watson	31	Victualling Crew		Belfast	Saloon Steward (1st class)	A	1	M
LULIC, Mr Nikola	29	3rd Class Passenger	315098 £8 13s 3d	Southampton		15	1	M
LUNDAHL, Mr Johan Svensson	51	3rd Class Passenger	347743 £7 1s 1d	Southampton	General Labourer		0	M
LUNDIN, Miss Olga Elida	23	3rd Class Passenger	347469 £7 17s 1d	Southampton		10	1	F
LUNDSTRöM, Mr Thure Edvin	32	3rd Class Passenger	350403 £7 11s 7d	Southampton		15	1	M
LURETTE, Miss Eugénie Elise	59	1st Class Passenger Servant	17569 £146 10s 5d	Cherbourg	Personal Maid	6	1	F
LYDIATT, Mr Charles	45	Victualling Crew		Southampton	Saloon Steward (1st class)		0	M
LYMPEROPOULUS, Mr Panagiotis K.	30	3rd Class Passenger	2683 £6 8s 9d	Cherbourg	General Labourer	[196]	0	M
LYNTAKOFF, Mr Stanko	44	3rd Class Passenger	349235 £7 17s 11d	Southampton	General Labourer		0	M
LYONS, Mr William Henry	25	Deck Crew		Southampton	Able Seaman	4	0	M
MABEY, Mr John Charles	23	Victualling Crew		Southampton	3rd Class Steward		0	M
MACK, Mrs Mary	57	2nd Class Passenger	S.O./C. 3 £10 10s	Southampton		[52]	0	F
MACKAY, Mr George William	20	3rd Class Passenger	42795 £7 11s	Southampton	Footman		0	M
MACKIE, Mr George William	34	Victualling Crew		Southampton	2nd Class Bedroom Steward		0	M
MACKIE, Mr William Dickson	32	Engineering Crew		Belfast	Junior 5th. Engineer		0	M
MADIGAN, Miss Margaret	21	3rd Class Passenger	370370 £7 15s	Queenstown		15	1	F
MADILL, Miss Georgette Alexandra	16	1st Class Passenger	24160 £211 6s 9d	Southampton		2	1	F
MADSEN, Mr Fridtjof Arne	24	3rd Class Passenger	17369 £7 2s 10d	Southampton		13	1	M
MäENPää, Mr Matti Alexanteri	22	3rd Class Passenger	3101275 £7 2s 6d	Southampton			0	M
MAGUIRE, Mr John Edward	30	1st Class Passenger	110469 £26	Southampton			0	M
MAHON, Miss Bridget Delia		3rd Class Passenger	330924 £7 17s 7d	Queenstown			0	F
MAIONI, Miss Roberta Elizabeth Mary	19	1st Class Passenger Servant	110152 £86 10s	Southampton	Personal Maid	8	1	F
MAISNER, Mr Simon	34	3rd Class Passenger	2816 £8 1s	Southampton	Tailor		0	M
MAJOR, Mr Thomas Edgar	35	Victualling Crew		Belfast	Bathroom Steward (1st Class)		0	M
MAJOR, Mr William James	32	Engineering Crew		Southampton	Fireman	13	1	M
MäKINEN, Mr Kalle Edvard	29	3rd Class Passenger	3101268 £7 18s 6d	Southampton	General Labourer		0	M
MALACHARD, Mr Jean-Noël	25	2nd Class Passenger	237735 £15 11d	Cherbourg			0	M
MALLET, Master André Clement	1	2nd Class Passenger	2079 £37 1d	Cherbourg		10	1	M
MALLET, Mr Albert Denis Pierre	45	2nd Class Passenger	2079 £37 1d	Cherbourg	Merchant		0	M
MALLET, Mrs Antonine Marie	24	2nd Class Passenger	2079 £37 1d	Cherbourg		10	1	F
MāMā, Mr Hannā Mikā'īl		3rd Class Passenger	2677 £7 4s 7d	Cherbourg		15	1	M
MANGAN, Miss Mary	32	3rd Class Passenger	364850 £7 15s	Queenstown		[61]	0	F
MANGIAVACCHI, Mr Serafino Emilio	30	2nd Class Passenger	32861 £15 11s 7d	Cherbourg	Clerk		0	M
MANNION, Miss Margaret	28	3rd Class Passenger	36866 £7 14s 9d	Queenstown		16	1	F
MANTLE, Mr Roland Frederick	40	Victualling Crew		Southampton	3rd Class Steward		0	M
MARCH, Mr John Starr	50	Victualling Crew Postal Clerk		Southampton	Postal Clerk / Postman	[225]	0	M
MARDIROSIAN, Mr Sarkis	25	3rd Class Passenger	2655 £7 4s 7d	Cherbourg	Farm Labourer		0	M
MARéCHAL, Mr Pierre	29	1st Class Passenger	11774 £29 14s	Cherbourg	Aviator	7	1	M
MARETT, Mr George John	27	Engineering Crew		Southampton	Fireman		0	M
MARINKO, Mr Dmitri	23	3rd Class Passenger	349238 £7 17s 11d	Southampton			0	M
MARKOFF, Mr Marin	35	3rd Class Passenger	349213 £7 17s 11d	Southampton	General Labourer		0	M
MARKS, Mr James	27	Victualling Crew		Southampton	Assistant Pantryman Steward (1st Class)		0	M
MARKUN, Mr Johann	33	3rd Class Passenger	349257 £7 17s 11d	Cherbourg	General Labourer		0	M
MARRIOTT, Mr John William	20	Victualling Crew		Southampton	Assistant Pantryman Steward (1st Class)	[2]	0	M
MARSDEN, Miss Evelyn	28	Victualling Crew		Southampton	Stewardess	16	1	F
MARSH, Mr Frederick Charles	39	Engineering Crew		Southampton	Fireman	[268]	0	M
MARTIN, Miss Mabel Elvina	20	Restaurant Staff		Southampton	Cashier		1	F
MARTIN, Mrs Annie Martha	39	Victualling Crew		Southampton	Stewardess	11	1	F
MARVIN, Mr Daniel Warner	18	1st Class Passenger	113773 £53 2s	Southampton	Of Independent Means		0	M
MARVIN, Mrs Mary Graham Carmichael	18	1st Class Passenger	113773 £53 2s	Southampton		10	1	F
MASKELL, Mr Leopold Adolphus	25	Engineering Crew		Southampton	Trimmer		0	M
MASON, Mr Frank Archibald Robert	32	Engineering Crew		Southampton	Fireman		1	M
MASON, Mr J.	39	Engineering Crew		Southampton	Leading Fireman		0	M
MATHERSON, Mr David	30	Deck Crew		Southampton	Able Seaman	[192]	0	M
MATHIAS, Mr Montague Vincent	28	Deck Crew		Southampton	Mess Steward		0	M
MATINOFF, Mr Nicola	30	3rd Class Passenger	349255 £7 17s 11d	Cherbourg			0	M
MATTHEWS, Mr William John		2nd Class Passenger	28228 £13	Southampton	China Clay Worker		0	M
MATTMANN, Sig. Adolf	20	Restaurant Staff		Southampton	Ice Man		0	M
MAUGE, Mr Paul Achille Maurice Germain	25	Restaurant Staff		Southampton	Kitchen Clerk		1	M
MAXWELL, Mr John	31	Deck Crew		Belfast	Carpenter / Joiner		0	M
MAY, Mr Arthur William	24	Engineering Crew		Southampton	Fireman		0	M
MAY, Mr Arthur William	59	Engineering Crew		Southampton	Fireman Messman		0	M
MAYBERY, Mr Frank Hubert	36	2nd Class Passenger	239059 £16	Southampton	Property Developer / Real Estate		0	M
MAYNARD, Mr Isaac Hiram	31	Victualling Crew		Belfast	Entrée Cook	B	1	M
MAYNé, Mlle Berthe Antonine	24	1st Class Passenger	17482 £49 10s 1d	Cherbourg	Singer	6	1	F
MAYO, Mr William Peter	27	Engineering Crew		Southampton	Leading Fireman	[177]	0	M
MAYTUM, Mr Alfred	52	Victualling Crew		Belfast	Chief Butcher	[141]	0	M
MAYZES, Mr Thomas Jubilee	25	Engineering Crew		Southampton	Fireman	3	1	M
MCANDREW, Mr Thomas Patrick	38	Engineering Crew		Southampton	Fireman		0	M
MCANDREWS, Mr William	23	Engineering Crew		Southampton	Fireman		0	M
MCCAFFRY, Mr Thomas Francis	46	1st Class Passenger	13050 £75 4s 10d	Southampton	Banker	[292]	0	M
MCCARTHY, Miss Catherine	24	3rd Class Passenger	383123 £7 15s	Queenstown		16	1	F
MCCARTHY, Mr Frederick James	38	Victualling Crew		Southampton	Bedroom Steward (1st Class)		0	M
MCCARTHY, Mr Timothy J.	54	1st Class Passenger	17463 £51 17s 3d	Southampton	Buyer	[175]	0	M
MCCARTHY, Mr William	47	Deck Crew		Southampton	Able Seaman	4	1	M
MCCASTLAN, Mr W.	38	Engineering Crew		Southampton	Fireman		0	M
MCCAWLEY, Mr Thomas W.	36	Victualling Crew		Belfast	Gymnasium Steward		0	M
MCCORMACK, Mr Thomas Joseph	19	3rd Class Passenger	367228 £7 15s	Queenstown	Barman		1	M
MCCOY, Miss Agnes	29	3rd Class Passenger	367226 £23 5s	Queenstown		16	1	F
MCCOY, Miss Alice	26	3rd Class Passenger	367226 £23 5s	Queenstown		16	1	F
MCCOY, Mr Bernard	24	3rd Class Passenger	367226 £23 5s	Queenstown	General Labourer	16	1	M
MCCRAE, Mr Arthur Gordon	32	2nd Class Passenger	237216 £13 10s	Southampton	Engineer	[209]	0	M
MCCRIE, Mr James Matthew	32	2nd Class Passenger	233478 £13	Southampton	Oil Worker		0	M
MCDERMOTT, Miss Bridget Delia	31	3rd Class Passenger	330932 £7 15s 8d	Queenstown		13	1	F
MCELROY, Mr Hugh Walter	37	Victualling Crew		Southampton	Purser	[157]	0	M
MCEVOY, Mr Michael	19	3rd Class Passenger	36568 £15 10s	Queenstown	Farm Labourer		0	M
MCGANN, Mr James	26	Engineering Crew		Southampton	Trimmer		1	M
MCGARVEY, Mr Edward Joseph	34	Engineering Crew		Southampton	Fireman		0	M
MCGAW, Mr Erroll Victor	30	Engineering Crew		Southampton	Fireman		0	M
MCGOUGH, Mr George Francis 'Paddy'	36	Deck Crew		Southampton	Able Seaman		1	M
MCGOUGH, Mr James Robert	35	1st Class Passenger	17473 £26 5s 9d	Southampton	Buyer	7	1	M
MCGOVERN, Ms Mary	22	3rd Class Passenger	330931 £7 17s 7d	Queenstown		13	1	F
MCGOWAN, Miss Anna Louise	17	3rd Class Passenger	330923 £8 7d	Queenstown			1	F
MCGOWAN, Miss Catherine	42	3rd Class Passenger	9232 £7 15s	Queenstown			0	F
MCGRADY, Mr James	27	Victualling Crew		Southampton	Saloon Steward	[330]	0	M
MCINERNEY, Mr Thomas	38	Engineering Crew		Southampton	Greaser		0	M
MCINTYRE, Mr William	21	Engineering Crew		Southampton	Trimmer		1	M
MCKANE, Mr Peter Dan	46	2nd Class Passenger	28403 £26	Southampton	Quarryman		0	M
MCKAY, Mr Charles Donald	34	Victualling Crew		Belfast	Saloon Steward	11	1	M
MCLAREN, Mrs Hypatia	40	Victualling Crew		Southampton	Stewardess		1	F
MCMAHON, Mr Martin	19	3rd Class Passenger	370372 £7 15s	Queenstown	Farm Labourer		0	M
MCMICKEN, Mr Arthur	23	Victualling Crew		Belfast	Saloon Steward (1st class)	11	1	M
MCMICKEN, Mr Benjamin Tucker	21	Victualling Crew		Belfast	Second Pantry Steward		0	M
MCMULLIN, Mr John Richard	32	Victualling Crew		Belfast	First class saloon steward		0	M
MCMURRAY, Mr William	43	Victualling Crew		Belfast	1st Class Bedroom Steward		0	M
MCNAMEE, Mr Neal	27	3rd Class Passenger	376566 £16 2s	Southampton	Provision Manager		0	M
MCNAMEE, Mrs Eileen	19	3rd Class Passenger	376566 £16 2s	Southampton		[53]	0	F
MCNEILL, Miss Bridget	32	3rd Class Passenger	370368 £7 15s	Queenstown			0	F
MCQUILLAN, Mr William	26	Engineering Crew		Belfast	Fireman	[183]	0	M
MCRAE, Mr William Alexander	31	Engineering Crew		Southampton	Fireman		0	M
MCREYNOLDS, Mr William	22	Engineering Crew		Belfast	Junior 6th. Engineer		0	M
MEANWELL, Mrs Marian	63	3rd Class Passenger	392087 £8 1s	Southampton	Milliner		0	F
MEEHAN, Mr John	22	3rd Class Passenger	3130 £7 15s	Queenstown	General Labourer		0	M
MEEK, Mrs Annie Louisa	31	3rd Class Passenger	343095 £8 1s	Southampton			0	F
MELLINGER, Miss Violet Madeline	13	2nd Class Passenger	250644 £19 10s	Southampton		14	1	F
MELLINGER, Mrs Elizabeth Anne	41	2nd Class Passenger	250644 £19 10s	Southampton	Servant	14	1	F
MELLOR, Mr Arthur	34	Victualling Crew		Southampton	Saloon Steward		0	M
MELLORS, Mr William John	19	2nd Class Passenger	SW/PP 751 £10 10s	Southampton	Salesman	A	1	M
MEO (MARTINO), Mr Alfonzo	48	3rd Class Passenger	11206 £8 1s	Southampton	Musician	[201]	0	M
MERNAGH, Mr Robert	28	3rd Class Passenger	368703 £7 15s	Queenstown	Farm Labourer		0	M
MEYER, Mr August	31	2nd Class Passenger	248723 £13	Southampton	Baker		0	M
MEYER, Mr Edgar Joseph	28	1st Class Passenger	17604 £82 3s 5d	Cherbourg	Mechanical Engineer		0	M
MEYER, Mrs Leila	25	1st Class Passenger	17604 £82 3s 5d	Cherbourg		6	1	F
MIDDLETON, Mr Alfred Pirrie	26	Engineering Crew		Belfast	Assistant Electrician		0	M
MIDDLETON, Mr Mark Victor	24	Victualling Crew		Southampton	Saloon Steward (2nd class)		0	M
MIDTSJø, Mr Karl Albert	21	3rd Class Passenger	345501 £7 15s 6d	Southampton	Farmer	15	1	M
MIHOFF, Mr Stoytcho	28	3rd Class Passenger	349207 £7 17s 11d	Southampton	General Labourer		0	M
MILES, Mr Frank	23	3rd Class Passenger	359306 £8 1s	Southampton	Engineer		0	M
MILFORD, Mr George	27	Engineering Crew		Southampton	Fireman		0	M
MILLAR, Mr Robert	26	Engineering Crew		Belfast	Extra 5th Engineer		0	M
MILLAR, Mr Thomas	32	Engineering Crew		Belfast	Deck Engineer		0	M
MILLET, Mr Francis Davis	65	1st Class Passenger	13509 £26 11s	Cherbourg	Artist	[249]	0	M
MILLING, Mr Jacob Christian	48	2nd Class Passenger	234360 £13	Southampton	Machine Inspector	[271]	0	M
MILLS, Mr Christopher	51	Victualling Crew		Southampton	Butcher	C	1	M
MINAHAN, Dr William Edward	44	1st Class Passenger	19928 £90	Queenstown	Merchant	[230]	0	M
MINAHAN, Miss Daisy E.	33	1st Class Passenger	19928 £90	Queenstown		14	1	F
MINAHAN, Mrs Lillian E.	37	1st Class Passenger	19928 £90	Queenstown		14	1	F
MINEFF, Mr Ivan	24	3rd Class Passenger	349233 £7 17s 11d	Southampton	General Labourer		0	M
MINKOFF, Mr Lazar	21	3rd Class Passenger	349211 £7 17s 11d	Southampton	General Labourer		0	M
MINTRAM, Mr William	46	Engineering Crew		Southampton	Fireman		0	M
MISHELLANY, Mr Abraham Mansoor	53	Victualling Crew		Belfast	Printer Steward		0	M
MITCHELL, Mr Henry Michael	71	2nd Class Passenger	24580 £10 10s	Southampton	Retired		0	M
MITCHELL, Mr Lorenzo (Lawrence) Horace	18	Engineering Crew		Southampton	Trimmer		0	M
MITKOFF, Mr Mito	23	3rd Class Passenger	349221 £7 17s 11d	Southampton	General Labourer		0	M
MOCK, Mr Philipp Edmund	30	1st Class Passenger	13236 £57 15s	Cherbourg		11	1	M
MOCKLER, Miss Ellen Mary	23	3rd Class Passenger	330980 £7 17s 7d	Queenstown		16	1	F
MOEN, Mr Sigurd Hansen	27	3rd Class Passenger	348123 £7 13s	Southampton	Carpenter / Joiner	[309]	0	M
MOLSON, Mr Harry Markland	55	1st Class Passenger	113787 £30 10s	Southampton	Businessman		0	M
MONRóS, Sr. Joan Javier	20	Restaurant Staff		Southampton	Assistant Waiter	[27]	0	M
MONTEVERDI, Sig. Giovanni	23	Restaurant Staff		Southampton	Cook		0	M
MONTVILA, Fr Juozas	27	2nd Class Passenger	211536 £13	Southampton	Priest / Minister		0	M
MOODY, Mr James Paul	24	Deck Crew Titanic Officers		Belfast	6th. Officer		0	M
MOOR, Master Meier	7	3rd Class Passenger	392096 £12 9s 6d	Southampton		14	1	M
MOOR, Mrs Beila	29	3rd Class Passenger	392096 £12 9s 6d	Southampton	Tailor	14	1	F
MOORE, Mr Alfred Ernest	39	Victualling Crew		Southampton	Saloon Steward, 2nd Class		0	M
MOORE, Mr Clarence Bloomfield	47	1st Class Passenger	113796 £42 8s	Southampton	Businessman		0	M
MOORE, Mr George Alfred	32	Deck Crew		Southampton	Able Seaman	3	1	M
MOORE, Mr John J.	29	Engineering Crew		Southampton	Fireman		1	M
MOORE, Mr Leonard Charles	19	3rd Class Passenger	54510 £8 1s	Southampton	Bricklayer		0	M
MOORE, Mr Ralph	21	Engineering Crew		Southampton	Trimmer		0	M
MOORES, Mr Richard Henry	44	Engineering Crew		Southampton	Greaser		0	M
MORAN, Miss Bridget	28	3rd Class Passenger	371110 £24 3s	Queenstown		16	1	F
MORAN, Mr Daniel J.	27	3rd Class Passenger	371110 £24 3s	Queenstown	General Labourer		0	M
MORAWECK, Dr Ernest	54	2nd Class Passenger	29011 £14	Southampton	Doctor		0	M
MORGAN (BIRD), Mr Charles Frederick	42	Victualling Crew		Southampton	Storekeeper (1st Class)		0	M
MORGAN, Mr Arthur Herbert	27	Engineering Crew		Southampton	Trimmer		0	M
MORGAN, Mr Thomas A.	26	Engineering Crew		Southampton	Fireman	[302]	0	M
MORLEY, Mr Henry Samuel	38	2nd Class Passenger	250655 £26	Southampton	Confectioner		0	M
